Job_Id,Designation,Required Skills,Max Exp (in months),Max Exp (in months)
300,Database Engineer,"Access, Applications, Architecture, Business Requirements, Computer, Configuration Management, Consulting, Database, Engineer, Engineers, IT, Linux, Management, Oracle, Project, SDLC, Security, SQL, SQL Server, Systems, Telecom, Web, Windows",6 - 10 yrs,
301,QA Test Automation Engineer,"test automation, fitnesse, selenium, agile, scrum, functional, integration, performance",4 - 9 yrs,
302,Java Developer,"Agile, Consulting, Developer, Development, HTTP, Inquire, Java, Scrum, SDLC",6 - 8 yrs,
303,Pharmacy Tech (PD) - Walnut Creek Campus,"Automated, Protocols, Robotic, Supervision, Technician",3 - 5 yrs,
304,Lead Cloud Engineer,"restful services, J2EE, NoSQL",4 - 8 yrs,
305,Testing Sr. Analyst,"Analyst, Development, HTTP, Lifecycle, Management, PMP, Project, Project Management, QA, Quality Assurance, Quality Center, Scripts, SDLC, Testing",3 - 8 yrs,
306,"Big Data Solution Architect - Boston, MA or Minnetonka, MN","Agile, API, Architecture, Business Requirements, Data Warehouse, Development, Genetic, Hadoop, Java, Management, NoSQL, Project",0 - 2 yrs,
307,"OKTA IDAM Consultant in Chicago, IL","OKTA, Identity management, IDAM, PKI",2 - 5 yrs,
308,Access & Identity Management (AIM) Analyst,"AML, Analysis, Analyst, CISSP, Customer Service, Development, Exchange, Lifecycle, Linux, Management, Networking, Project, Project Management, Protocols, Security, Supervisor",2 - 7 yrs,
309,"Software Engineer, Hadoop","Analysis, Development, GIT, Hadoop, HTTP, Linux, NoSQL, Software Engineer, Unix, Version Control",6 - 11 yrs,
310,OMS (Sterling OMS) Architect/Consultant,Need consultants,3 - 7 yrs,
311,Business Systems Analyst,"Analysis, Analyst, Excel, Metrics, PL/SQL, SQL",4 - 7 yrs,
312,Respiratory Therapist - Walnut Creek Campus (Per Diem),"Analysis, Circuit, Management, Robotic",2 - 7 yrs,
313,"Solution Architect - Eden Prairie, MN","Agile, Architecture, Automated, Business Intelligence, Development, Director, Genetic, Hadoop, Management, NoSQL, SQL, System Architecture, Testing, UML",1 - 6 yrs,
314,"Big Data Applications Technical Product Owner - Minnetonka, MN","Agile, Analysis, Business Intelligence, Development, Embedded, Genetic, Hadoop, Hardware, HTTP, Manager, Management, Project, Project Management, Project Manager, Testing, Video",1 - 5 yrs,
315,Sr Web Developer - Test and Measurement,"Ajax, Business Requirements, Developer, Development, DHTML, HTML, Java, JavaScript, Management, Release, Web Developer",0 - 4 yrs,
316,MQ Middleware Support,"Architecture, B2B, BMC, Consulting, Inquire, Linux, Middleware, Research, Solaris, Technical Writing, Unix",5 - 10 yrs,
317,ENTERPRISE SYSTEMS ENGINEER,"unix, vmware, enterprise",7 - 12 yrs,
318,QA Automation Engineer,".Net, Agile, C++, GIT, Java, Jenkins, QA, Release, Testing",0 - 5 yrs,
319,Field Services Analyst III,"AML, Analysis, Analyst, Audio Visual, Citrix, Customer Service, Diagnostic, Encryption, Excel, Hardware, Management, Metrics, MS Office, Networking, Networks, Outlook, Printer, Project, Project Management, Protocol, Supervisor, TCP/IP, Testing, VMware, Windows",2 - 7 yrs,
320,Java Developer 12676,"IT, information technology, Java, OOAD, Java EE, Web Service Technologies, SOAP, REST",1 - 4 yrs,
321,Security Engineer,"security, checkpoint",1 - 4 yrs,
322,Senior Security Architect,".Net, Analysis, Architecture, Consulting, Database, Development, Manager, Management, Project, Project Management, Security",1 - 6 yrs,
323,Senior Consultant w/ TOP SECRET CLEARANCE,"Architecture, Citrix, Consulting, Firewall, Project, Testing, VMware",0 - 4 yrs,
324,SAP Consultant - Consumer Goods/Packaged Meat Industry Experience,"Architecture, Development, SAP, SAP Consultant, Testing",1 - 1 yrs,
325,Senior I.T. Systems Analyst,"Agile, AML, Analysis, Analyst, Analytical Skills, Business Requirements, Data Modeling, Development, Management, Modeling, Oracle, Project, Research, SQL, SQL Server, Supervisor, Testing",3 - 8 yrs,
326,IT - Project Manager IV,Masters degree or equivalent work experience required. 8+ years of complex project/program management with demonstrated experience managing large scale initiatives with significant dependencies on ve,2 - 4 yrs,
327,Salesforce Technical Lead - Sales / Service / Marketing Cloud,"Salesforce Sales Cloud / Service Cloud, APEX, SQL, JavaScript, HTML - Salesforce Sales Cloud / Service Cloud, APEX, SQL, JavaScript, HTML",1 - 5 yrs,
328,Senior Sales Engineer -Pre-sales- Top Rated Boston Tech Company!,"Pre-Sales Engineer, HTML, CSS, Product Demonstrations / Technical Pre-Sales, Develop customer relationships - Pre-Sales Engineer, HTML, CSS, Product Demonstrations / Technical Pre-Sales, Develop customer relationships",3 - 8 yrs,
329,Web Developer - JavaScript expert!,"JavaScript, CSS, HTML, JQuery, SQL Server, Java, web applications - JavaScript, CSS, HTML, JQuery, SQL Server, Java, web applications",4 - 9 yrs,
330,"Hybrid Mobile Developer - HTML5, CSS3, AngularJS","HTML5, CSS3, AngularJS, Cordova, Phone Gap - HTML5, CSS3, AngularJS, Cordova, Phone Gap",3 - 4 yrs,
331,Marketing Analyst,"SAS-MA, Toad, SAS, MS-Access.",3 - 7 yrs,
332,PMO Support Analyst,Advanced experience with PowerSteering PPM,3 - 6 yrs,
333,Business Intelligence Analyst,"BI Analyst, SQL",3 - 5 yrs,
334,SAP VC with IPC - Manager (Customer Capability),"Consulting, CRM, Development, Excel, HTML, HTTP, Lifecycle, Manager, Project, Project Manager, Recruiter, Research, SAP, Supply Chain, Testing",0 - 5 yrs,
335,Java/Spring/Cloud based Web Services Applications Developer,(JAVA over 4 year(s) ) AND (SPRING over 4 year(s) ) AND (WEB SERVICES OR REST OR SOAP OR WEBSERVICE ) AND(UNIT TESTING OR JUNIT OR SPOCK ) AND(CLOUD OR AWS OR AMAZON WEB SERVICES ),10 - 20 yrs,
336,Senior Mechanical Engineer - Electronics Packaging,"Mechanical Engineer, SolidWorks, Product Development, Electronics Packaging, Electronics Cooling, GD&T, ASME, Shock and Vibration, Drawing Standards, Small precision components - Mechanical Engineer, SolidWorks, Product Development, Electronics Packaging, Electronics Cooling, GD&T, ASME, Shock and Vibration, Drawing Standards, Small precision components",0 - 1 yrs,
337,"Information Security Manager - IT Security, CISSP, Policies","IT Security, CISSP/CISM/CISA/CEH, Cryptography, IT Control, Security Policies/ Processes, Risk Management - IT Security, CISSP/CISM/CISA/CEH, Cryptography, IT Control, Security Policies/ Processes, Risk Management",3 - 5 yrs,
338,Data Communication Analyst - Senior,"Analyst, Cisco, Forth, Genetic, Help Desk, LAN, Management, Routers, Sniffer, Switches, WAN",0 - 5 yrs,
339,"Ruby on Rails Software Engineer- Web applications, JavaScript","Ruby On Rails, web applications, JavaScript, TDD, SaaS Applications, ActiveRecord, Rest, AWS - Ruby On Rails, web applications, JavaScript, TDD, SaaS Applications, ActiveRecord, Rest, AWS",3 - 6 yrs,
340,Disaster Recovery Project Manager,"disaster recovery, project management, architecture, infrastructure, planning,",0 - 5 yrs,
341,"Senior Network Engineer- BGP, IP Network Design and Architecture","ISP Networking, Border Gateway Patrol (BGP), High Capactiy Data Circuits, Network Traffic Optimization, Cisco and Juniper Routers and Switches Management, IP Network Design and Routing Architectures, Linux/Unix Related Tools - ISP Networking, Border Gateway Patrol (BGP), High Capactiy Data Circuits, Network Traffic Optimization, Cisco and Juniper Routers and Switches Management, IP Network Design and Routing Architectures, Linux/Unix Related Tools",6 - 10 yrs,
342,Insurance Consulting Leader,"Agile, Architecture, Change Management, Consulting, Development, Management, Project, Re-engineering",6 - 11 yrs,
343,"Telecommute Backend Software Engineer - (Python, Big Data)","Python, SPARK, Apache Spark, Cassandra, Scala, Hadoop - Python, SPARK, Apache Spark, Cassandra, Scala, Hadoop",1 - 5 yrs,
344,"Elixir Engineer - Elixir, Python, Ruby On Rails","Elixir, Python, Ruby On Rails - Elixir, Python, Ruby On Rails",2 - 4 yrs,
345,Core Java developer with JBPM and Multithreading,"Core Java, JBPM, multithread",0 - 5 yrs,
346,Junior QA Engineer (1-5 years experience),"Quality assurance, Manual tester, SQA, SQE, manual, agile, web, smoke, white box, black box, regression, sql, software, jira, Computer Science, Computer Engineer, MIS",17 - 20 yrs,
347,SAP LSHC Senior Manager (Finance Capability),"Consulting, Costing, CRM, Development, Excel, HTML, HTTP, Lifecycle, Manager, Management, Project, Project Management, Project Manager, Recruiter, Research, SAP, Supply Chain, Testing",1 - 3 yrs,
348,Business Systems Analyst - Supply Chain,"Business Analyst, Supply Chain",1 - 3 yrs,
349,Java Developer with Android,Java Android,10 - 17 yrs,
350,Information Systems Security Engineer-CISSP,"Architecture, CISSP, Cisco, Development, Exchange, Hardware, HP-UX, LAN, Linux, Management, MS Office, Protocol, Protocols, Risk Management, Routers, Security, Solaris, Testing, Unix, UX, WAN, Windows",3 - 5 yrs,
351,Biomedical Engineer - Amazing Company Culture!,"Biomaterials, Regulatory Compliance, Analytics, BLA regulatory knowledge, IND's regulatory knowledge, Data Analysis, Pre-Clinical and/or Clinical Projects experience, Product Development - Biomaterials, Regulatory Compliance, Analytics, BLA regulatory knowledge, IND's regulatory knowledge, Data Analysis, Pre-Clinical and/or Clinical Projects experience, Product Development",2 - 3 yrs,
352,"Full Stack Developer - JavaScript, C#, PHP, MySQL","C#, JavaScript, PHP, MySQL, UI - C#, JavaScript, PHP, MySQL, UI",4 - 9 yrs,
353,Undergrad Intern - Colleague Insights and Analytics,"Change Management, Development, Forth, Genetic, Help Desk, Intern, Manager, Management, Networking, Outlook, Project, Project Manager, UPS",4 - 6 yrs,
354,Senior Platform Software Engineer,"Linux, Linux Kernel, IP Networking, C++, Python - Linux, Linux Kernel, IP Networking, C++, Python",1 - 5 yrs,
355,Oracle HCM Cloud (Fusion) Senior Solution Engineer - USDC,"Consulting, Development, HTTP, Lifecycle, Management, Oracle, PowerPoint, Project, Testing",5 - 10 yrs,
356,Developer in Test,Using software quality assurance tools and processes.,6 - 10 yrs,
357,Sr Infrastructure Project Manager Boston MA Moving Fast,Infrastructure Project Manager Disaster Recovery,4 - 6 yrs,
358,Embedded Software Engineer,Plan and write internal and interface documentation for software,5 - 10 yrs,
359,"Multiple Ruby on Rails, RoR Web Software Engineers to Lead level","Ruby, Rails, Ruby on Rails, Web Developer, Software Engineer, Senior Software Engineer, Principal Software Engineer, Lead Software Engineer, Software Architect, Ruby 2.1, rails 4, postgres, backbone,",0 - 3 yrs,
360,Big data Engineer,Big Data / Python / Apache Spark / Scala / Hadoop / Hive /,1 - 6 yrs,
361,Senior Software Engineer - Growing Company & Amazing Culture,"Java, Spring Framework, Object Oriented Programming, MSSQL, MySQL, JavaScript, Linux, Git / GitHub, PHP, JUnit - Java, Spring Framework, Object Oriented Programming, MSSQL, MySQL, JavaScript, Linux, Git / GitHub, PHP, JUnit",7 - 12 yrs,
362,.Net Developer,".Net Developer, ASP.Net, MVC, Javascript, JQuery",5 - 10 yrs,
363,Lead Mobile Application Developer,"Mobile, iOS, Android, HTML5, hybrid, RESTful, PhoneGap, Git",7 - 12 yrs,
364,SAP SuccessFactors - Senior Manager,"Consulting, Development, Excel, HTML, HTTP, Manager, PowerPoint, Project, Recruiter, Research, SAP, Sales",0 - 5 yrs,
365,LEAD .NET Developer,"Full Stack .NET Lead MUST be a 10 yr+ level with demonstrated experience with leading off-shore developers. Technical must have: MVC, AngularJS, Entity Framework, DB design, and integration solutions",0 - 3 yrs,
366,"Sr. DevOps Engineer - Linux, AWS, Puppet","Linux, Amazon Web Services, Configuration Management, Scripting - Linux, Amazon Web Services, Configuration Management, Scripting",5 - 10 yrs,
367,HPC Apps/Tools Specialist,"HPC Application and Tools,xCAT, LSF, MPI, OpenMP, Ganglia, Nagios, OpenFabrics, Red Hat Enterprise Linux, Infiniband",9 - 14 yrs,
368,Automation/Control Systems Engineer,"Control Systems, automation systems, DeltaV, Emerson Products, Piping & Instrumentation Diagram (P&ID), cGMP - Control Systems, automation systems, DeltaV, Emerson Products, Piping & Instrumentation Diagram (P&ID), cGMP",3 - 5 yrs,
369,"Senior Manager, SalesForce CRM","CRM, Salesforce, force.com, CRM Manager, Salesforce PM, SFDC",1 - 5 yrs,
370,SAP SuccessFactors - Senior Consultant,"Consulting, Development, Excel, HTML, HTTP, PowerPoint, Project, Recruiter, Research, SAP, Sales",4 - 9 yrs,
371,"Senior NetSuite Analyst - NetSuite, ERP, JavaScript","NetSuite, ERP, CRM, JavaScript, NetSuite Support - NetSuite, ERP, CRM, JavaScript, NetSuite Support",1 - 4 yrs,
372,"SAP Developer - 4.x, SQL, Data Modeling","4.x, SQL, Data Modeling - 4.x, SQL, Data Modeling",4 - 6 yrs,
373,Senior Core Java(10 yrs plus),"Core Java, multi threading, Spring, Struts, Hibernate, Oracle etc.,",6 - 9 yrs,
374,Strategy Consulting - Human Capital - HR Shared Services Senior Manager,"Consulting, Development, Excel, HTML, HTTP, Manager, Project, Recruiter, Research",2 - 4 yrs,
375,Ruby on Rails Developer - Rails expertise needed please!!,"Ruby on Rails, JavaScript, SQL, NoSQL/Big Data, Full stack development - Ruby on Rails, JavaScript, SQL, NoSQL/Big Data, Full stack development",1 - 6 yrs,
376,Technical Architect OAAM,"OIM,OAM",2 - 3 yrs,
377,"Operations Engineer - Linux, Azure, Chef/Puppet/Ansible/Salt/Ter","Linux, Azure, Chef/Puppet/Ansible/Salt/Terraform Boto, AWS, Service Deployment - Linux, Azure, Chef/Puppet/Ansible/Salt/Terraform Boto, AWS, Service Deployment",2 - 5 yrs,
378,SAP SuccessFactors - Consultant,"Consulting, Development, Excel, HTML, HTTP, PowerPoint, Project, Recruiter, Research, SAP, Sales",5 - 10 yrs,
379,"Senior Software Architect - Java, SaaS, Big Data","Java, J2EE, SaaS, Big Data, JavaScript - Java, J2EE, SaaS, Big Data, JavaScript",7 - 12 yrs,
380,Fraud Investigation Analyst,"Fraud, Investigation,mitigate, mitigate loss,",3 - 5 yrs,
381,Mainframe Developer (No Subcontractors),Host/Mainframe based applications utilizing Systems Development Life Cycle (Waterfall/Iterative/Agile) and Best Practices,0 - 0 yrs,
382,"Senior Web Developer - PHP, FullStack","PHP, HTML, CSS, JavaScript, JQuery, Magento, Ecommerce Web Development, Web Services (REST SOAP) - PHP, HTML, CSS, JavaScript, JQuery, Magento, Ecommerce Web Development, Web Services (REST SOAP)",3 - 8 yrs,
383,Systems Administrator - data center operations w/windows & linux,"NOC/data center experience, Troubleshooting, Windows Server 2008, Windows Server 2012, Linux, Active Directory, Citrix/VMWare (NOT essential), Networking (NOT essential) - NOC/data center experience, Troubleshooting, Windows Server 2008, Windows Server 2012, Linux, Active Directory, Citrix/VMWare (NOT essential), Networking (NOT essential)",1 - 4 yrs,
384,"Senior Back End Developer - Python, Big Data Processing","Python, Big Data processing, (Kafka/Spark/Storm), AWS - Python, Big Data processing, (Kafka/Spark/Storm), AWS",0 - 5 yrs,
385,"Solution Architect, Master Data Management (MDM) - East","AIX, Analysis, Application Servers, Architecture, B2B, Capacity Planning, CRM, Data Architecture, Database, Data Modeling, Data Warehouse, DB2, Development, ERP, Informatica, J2EE, Java, Linux, Management, Modeling, Oracle, PeopleSoft, Programming, Project, Project Management, SAP, Sales, Security, Shell Script, Siebel, Solaris, Unix, WebSphere, Windows, XML",0 - 2 yrs,
386,"Mainframe systems engineer with TN3270 emulator Integration_3+ months_Franklin, MA (Onsite Only)",mainframe tn3270 3270 Integrat*,5 - 10 yrs,
387,Senior Mechanical Engineer,"Electronic packagig experience, mechanical design, knowledge of SolidWorks,surface finishes and plating, Open VPX or VME, VITA standards, MIL-STD-810",10 - 20 yrs,
388,"DevOps Engineer - AWS, Linux, Docker","AWS, Linux, Configuration Management (Puppet / Chef / Ansible) - AWS, Linux, Configuration Management (Puppet / Chef / Ansible)",0 - 5 yrs,
389,Principle SW Firmware Engineer - & Web Based Tools- too COOL!,"embedded Linux C/C++ ARM Cortex & x86, Android/iOS app development for embedded devices, JavaScript, Node.js, Angular.js, web based GUI/tools, both frontend and backend., BLE app development on Android/iOS, Linux C/C++, C++ database drivers, Object Oriented ANSI C++, networks, sockets, IP stacks, Ubuntu/SLES build environment, SVN and Jenkins - embedded Linux C/C++ ARM Cortex & x86, Android/iOS app development for embedded devices, JavaScript, Node.js, Angular.js, web based GUI/tools, both frontend and backend., BLE app development on Android/iOS, Linux C/C++, C++ database drivers, Object Oriented ANSI C++, networks, sockets, IP stacks, Ubuntu/SLES build environment, SVN and Jenkins",2 - 4 yrs,
390,JavaScript Developer - React.JS,"React.JS, Computer Science Degree, JavaScript, JQuery, HTML / CSS, Bootsrap, Gulp, Node.JS, Websockets, Cryptography - React.JS, Computer Science Degree, JavaScript, JQuery, HTML / CSS, Bootsrap, Gulp, Node.JS, Websockets, Cryptography",13 - 15 yrs,
391,C/C++ Software Engineer- Medical Devices/Consumer Electronics,"Medical Devices/Consumer Electronics, designing/writing C & C++ multi-threaded/processin, C++ Programming Skills, Object Oriented Design and Development, Direct driver (kernel&user mode) &systems (Windows, embedded & real time OS (Linux / ThreadX), USB, TCP, UDP, EE fundamentals, Hands-on debugging & bring-up of new boards - Medical Devices/Consumer Electronics, designing/writing C & C++ multi-threaded/processin, C++ Programming Skills, Object Oriented Design and Development, Direct driver (kernel&user mode) &systems (Windows, embedded & real time OS (Linux / ThreadX), USB, TCP, UDP, EE fundamentals, Hands-on debugging & bring-up of new boards",5 - 10 yrs,
392,Dev Ops Engineer,"AWS, DevOps",0 - 5 yrs,
393,Tech Ops Technician (1st shift) (THUR-MON),Telecommuting not available Travel not required,2 - 7 yrs,
394,Senior Digital Analyst,"AWS, Azure, SharePoint, MS Exchange, Lync. .NET, AD, mobile, validation, global",17 - 23 yrs,
395,Information Systems/Support Engineer- Direct Hire,"Manager, Management, Security, VMware, VPN, Windows",6 - 11 yrs,
396,Senior JavaScript Developer,"JavaScript, UX design, Linux, Git, REACT - JavaScript, UX design, Linux, Git, REACT",10 - 20 yrs,
397,Sr. Project Manager,8-10 years of experience with all aspects of project management practice. PMP certification desired Agile and Scrum experience a must,5 - 10 yrs,
398,"Senior Product Manager - B2B, SaaS, Strategy, Innovation","B2B, SaaS Startup Industry, Full Life Cycle Product Management, SaaS web-based software and mobile applications, User Story development for use by engineering team, Prototyping tools and/or amazing whiteboard skills, UI/UX concepts and workflows, Product Line Strategy - Market Research - Analysis, Product Pricing & Positioning Strategies, Insurance Industry a plus - B2B, SaaS Startup Industry, Full Life Cycle Product Management, SaaS web-based software and mobile applications, User Story development for use by engineering team, Prototyping tools and/or amazing whiteboard skills, UI/UX concepts and workflows, Product Line Strategy - Market Research - Analysis, Product Pricing & Positioning Strategies, Insurance Industry a plus",1 - 2 yrs,
399,Senior Mechanical Engineer (REMOTE OK),"CAD Software, Solidworks, EPDM - CAD Software, Solidworks, EPDM",8 - 13 yrs,
400,SuccessFactors Sr Consultant- Senior Solution Engineer - USDC,"Consulting, Development, Excel, HTTP, Lifecycle, Management, Oracle, PowerPoint, Project, SAP, SAP HR, Testing",15 - 25 yrs,
401,UX Designer - Web/Mobile UX for growing International Firm!,"User Experience, Wireframes, Information Architecture, Mobile UX, In-agency Experience - User Experience, Wireframes, Information Architecture, Mobile UX, In-agency Experience",1 - 4 yrs,
402,Java Developer,"Core Java ,Spring, restful web services",10 - 15 yrs,
403,Cognos Developer,COGNOS,0 - 5 yrs,
404,Business Analyst,"QA,Microsoft Office Suite: Word, PowerPoint, Visio, Excel",7 - 12 yrs,
405,Sr. Java Developer (Local to MA),"Web Services, Spring",0 - 5 yrs,
406,SAP Cash Management,"SAP, Cash Management, AP, EBS",4 - 9 yrs,
407,Kinaxis - SCM,"Kinaxis, business process solution, SCM, Radip Response",0 - 4 yrs,
408,Big Data Software Engineer - PHP/Java/AWS,"PHP, Java, AWS, Relational Databases, EMR / Map Reduce, Multi-node parrell processing - PHP, Java, AWS, Relational Databases, EMR / Map Reduce, Multi-node parrell processing",4 - 9 yrs,
409,Project Manager,"Agile, PMP Knowledge,Health Care Experience",5 - 8 yrs,
410,Associate Director of Commercial IT Applications,"Associate Director, Applications, CRM, Salesforce, BI, business intelligence, cloud",0 - 2 yrs,
411,SAP SuccessFactors - Manager,"Consulting, Development, Excel, HTML, HTTP, Manager, PowerPoint, Project, Recruiter, Research, SAP, Sales",10 - 15 yrs,
412,Compliance Systems Analyst,"CCAR, SQL",1 - 5 yrs,
413,ACCOUNT EXECUTIVE - IT,"Sales, IT, Cybersecurity, Networking",2 - 5 yrs,
414,Technical Support Specialist,"Technical Support, Windows, MS Office - MS Word - MS Excel, Software Support, Software Testing, Diagnosing Technical Customer Issues, Experience working in or with schools - Technical Support, Windows, MS Office - MS Word - MS Excel, Software Support, Software Testing, Diagnosing Technical Customer Issues, Experience working in or with schools",2 - 4 yrs,
415,.Net C# Developer,".Net C#, typscript, angular2",10 - 20 yrs,
416,UX Designer for leading EdTech firm in Boston,"User Experience, Interaction Design, User Research, Wireframes, HTML/CSS - User Experience, Interaction Design, User Research, Wireframes, HTML/CSS",1 - 6 yrs,
417,Web Services Developer,"Architecture, Consulting, Developer, Development, Foundation, Informatica, Java, Knowledge Management, Management, Project, Sales, Security, SOAP, SQL, XML",4 - 9 yrs,
418,Geotechnical Engineer,"Geotechnical , soil, dam design",1 - 5 yrs,
419,"Senior Informatica Developer - Boston, MA or Rocky Hill, CT","Architecture, B2B, Business Intelligence, Data Architecture, Developer, Development, Director, EDI, Exchange, Genetic, Informatica, Manager, Management, Oracle, Security, Testing, Validation",5 - 9 yrs,
420,Configuration Management Analyst - Senior,"AIX, Analyst, Application Servers, Automated, Bash, Configuration Management, Development, Forth, Foundation, Genetic, GIT, Help Desk, Hudson, J2EE, Jenkins, Linux, Manager, Management, Perl, Release, Scripts, Source Code, SOX, SQL, Subversion, Unix, Version Control, WebSphere, Windows",1 - 2 yrs,
421,Enterprise Information Management (EIM) Principal Consultant (Remote),"Analysis, Analyst, Architecture, B2B, Business Analyst, Change Management, Consulting, Developer, Development, Informatica, Manager, Management, PC, Project, Project Management, Project Manager",0 - 5 yrs,
422,Project Manager - Premier & Innovative Engineering Company!,"HVAC System Design, Electrical Design, Plumbing Design, Fire Protection Design, Project Management - HVAC System Design, Electrical Design, Plumbing Design, Fire Protection Design, Project Management",0 - 5 yrs,
423,"Lead Android Developer - Java, Android SDK, Android","Java, Android SDK, Android, JavaScript - Java, Android SDK, Android, JavaScript",0 - 5 yrs,
424,VistA Test Engineer,"Strong VA VistA knowledge, experience as Test Engineer in VistA environment, experience in coordination and execution of test events, CPRS within VistA, proactive, independent",0 - 2 yrs,
425,Back-End Java Developer ATG,Oracle ATG Web Commerce - ATG Content Administration,1 - 4 yrs,
426,Architect,Expertise in SQL Server management expertise and experience,1 - 3 yrs,
427,Adobe AME Architect,Adobe AME/CQ,0 - 3 yrs,
428,"Technology Development Program Associate - Boston, MA",".Net, Agile, Analysis, Analyst, ASP, ASP.NET, Developer, Development, Genetic, Hadoop, Java, Management, Programming, Risk Management, Security, Testing, VB",2 - 4 yrs,
429,Exchange Support Engineer,"Exchange, Office 365",0 - 1 yrs,
430,"Software Engineer - PHP, OOP, MySQL","PHP, MySQL, OOP - PHP, MySQL, OOP",3 - 7 yrs,
431,Technical Change Management Senior Consultant,"Analysis, Change Management, Consulting, Development, Excel, HTML, HTTP, JD Edwards, Lifecycle, Management, Materials, MS Office, Oracle, PeopleSoft, PowerPoint, Project, Recruiter, Research, SAP, SalesForce, Siebel",4 - 8 yrs,
432,Senior Front End Engineer - Implement React,"JavaScript, REACT, HTML5/CSS3 - JavaScript, REACT, HTML5/CSS3",2 - 5 yrs,
433,"Technical Project Manager - Agile, SQL","Project Management for SDLC, Agile/Scrum, SQL, Project Management for .NET teams, Financial Services Industry - Project Management for SDLC, Agile/Scrum, SQL, Project Management for .NET teams, Financial Services Industry",1 - 3 yrs,
434,Full Stack Java Developer,"java, javascript, aws, amazon web services, angular.js, scala",6 - 10 yrs,
435,MBA Intern - Enterprise Market Strategy,"Consulting, Development, Forth, Genetic, Help Desk, Intern, Management, Networking, PowerPoint, Project",3 - 6 yrs,
436,Database Engineer/Architect,"SQL, T-SQL, PL/SQL, PostgreSQL, ETL, MongoDB, Redis, SCRUM, Cloud, AWS - SQL, T-SQL, PL/SQL, PostgreSQL, ETL, MongoDB, Redis, SCRUM, Cloud, AWS",5 - 7 yrs,
437,Automation Systems Engineer,"DeltaV, automation systems, Control Systems, Emerson Products - DeltaV, automation systems, Control Systems, Emerson Products",0 - 5 yrs,
438,Portal Support Analyst,"Support, Portal",15 - 25 yrs,
439,Lead Android Developer for an exciting start-up!,"Android Development, Android SDK, Third-Party Libraries and APIs, Version Control (GIT), Agile/Scrum - Android Development, Android SDK, Third-Party Libraries and APIs, Version Control (GIT), Agile/Scrum",6 - 10 yrs,
440,"Network Analyst - Network Administration, Windows, SQL","Network Administration, Windows, SQL - Network Administration, Windows, SQL",5 - 10 yrs,
441,Senior Information Security Specialist - M,"Senior Information Security Specialist, Financial Services, Risk Assessment, IT Audits, Disaster Recovery, Business Continuity",7 - 12 yrs,
442,System Engineer,"VMWARE,EMC,Microsoft Active Directory,DHCP, DNS, ADFS, Azure Cloud Services",2 - 3 yrs,
443,AVM Service Delivery Director,"Agile, Consulting, Development, Director, Foundation, Knowledge Management, Management, Project",4 - 9 yrs,
444,"Principal Ruby on Rails Developer - RoR, JavaScript, jQuery, SQL","Ruby on Rails, JavaScript, SQL, Backbone.JS, JQuery - Ruby on Rails, JavaScript, SQL, Backbone.JS, JQuery",0 - 5 yrs,
445,Director of Engineering & Technical Services,"IP, Ethernet, Video - IP, Ethernet, Video",2 - 5 yrs,
446,Qlikview Architect / Technical Expert,"QlikView, Business Intelligence, QlikView Publisher, Data analysis, Insurance domain,QlikView, Business Intelligence, QlikView Publisher, Data analysis, Insurance domain,",5 - 7 yrs,
447,Associate Product Manager,"Product Management, Business Analysis, Business Strategy, Business Process Engineering, SDLC, Agile",0 - 5 yrs,
448,Project Manager,Project Manager; Agile; Waterfall; SDLC; O365; Microsoft Office 365,3 - 7 yrs,
449,Multimedia Training Developer,"Adobe Captivate, illustrator, elearning, training, healthcare",2 - 7 yrs,
450,SuccessFactors Functional Consultant - Solution Engineer USDC,"Consulting, Development, Excel, HTTP, Lifecycle, Management, Oracle, PowerPoint, Project, SAP, SAP HR, Testing",3 - 8 yrs,
451,"Sofware Engineer - NLP, Text Mining, Healthcare Informatics","Natural Language Processing, Information Extraction from Clinical Data, Healthcare Informatics, Ontologies, Text Mining, Pre/Post Sales Support, Solid understanding of scripting languages - Natural Language Processing, Information Extraction from Clinical Data, Healthcare Informatics, Ontologies, Text Mining, Pre/Post Sales Support, Solid understanding of scripting languages",0 - 1 yrs,
452,Telecom Business Analyst (System Engineer),"System Engineer, Voip, wireless",8 - 10 yrs,
453,Help Desk / Technology Support Analyst,(HELP DESK OR HELPDESK OR HELP-DESK OR TECHNICAL SUPPORT OR TECH SUPPORT OR CALLCENTER OR CALL-CENTER ) AND(TICKET OR INCIDENT OR CALL TRACKING OR TROUBLESHOOT OR TICKETING OR REMEDY ),7 - 12 yrs,
454,Java Developer with Jenkins/junit,JAVA JENKINS/BAMBOO JUNIT,0 - 4 yrs,
455,Mid-level Windows DevOps Engineer,"powershell, bash, continuous integration, bamboo, bitbucket, windows servers, windows, chef, puppet, jenkins",3 - 8 yrs,
456,Java Lead / Java Developer with spring,Java Developer J2EE spring RESTful services,5 - 10 yrs,
457,"SAP Retail with MM, AFS & FMS -Consultant (Customer Capability )","Consulting, CRM, Development, Excel, HTML, HTTP, Lifecycle, Recruiter, Research, SAP, Supply Chain, Testing",3 - 8 yrs,
458,.NET Developer (Junior / Mid-level),".NET, C#. ASP.NET, LINQ, HTML, CSS, JavaScript, AJAX / jQuery, SQL",3 - 7 yrs,
